timestamp,port_congestion_level,warehouse_inventory_level,handling_equipment_availability,loading_unloading_time,weather_condition_severity,delay_probability,historical_demand
2021-01-01,5.55,595.0,0.716,3.26,0.679,0.565,2214
2021-01-02,4.97,542.0,0.8,2.77,0.738,0.64,1513
2021-01-03,5.8,577.0,0.721,3.81,0.769,0.635,1758
2021-01-04,6.73,597.0,0.784,3.7,0.726,0.662,2117
2021-01-05,5.02,596.0,0.844,3.07,0.764,0.564,2353
2021-01-06,5.08,601.0,0.777,3.32,0.691,0.626,2131
2021-01-07,6.94,661.0,0.631,3.72,0.578,0.728,2131
2021-01-08,6.18,603.0,0.786,3.07,0.802,0.595,2439
2021-01-09,4.99,569.0,0.822,2.75,0.636,0.56,1102
2021-01-10,6.06,629.0,0.799,3.23,0.601,0.613,1579
2021-01-11,5.1,641.0,0.86,3.28,0.675,0.627,2675
2021-01-12,5.15,520.0,0.743,3.07,0.6,0.547,2297
2021-01-13,5.91,611.0,0.816,2.71,0.648,0.465,2617
2021-01-14,3.8,617.0,0.884,2.52,0.723,0.627,2165
2021-01-15,4.04,567.0,0.73,2.79,0.722,0.604,2208
2021-01-16,5.25,651.0,0.811,3.03,0.595,0.489,1618
2021-01-17,4.85,575.0,0.778,3.56,0.634,0.542,1114
2021-01-18,6.23,589.0,0.771,2.83,0.788,0.723,1885
2021-01-19,5.06,575.0,0.816,3.16,0.728,0.67,2015
2021-01-20,4.6,584.0,0.784,3.37,0.884,0.662,2333
2021-01-21,7.53,529.0,0.716,4.19,0.792,0.675,2262
2021-01-22,5.88,512.0,0.784,3.06,0.786,0.638,2262
2021-01-23,6.22,664.0,0.721,3.39,0.53,0.586,1749
2021-01-24,4.78,543.0,0.75,3.13,0.743,0.648,1462
2021-01-25,5.71,536.0,0.82,3.2,0.658,0.559,2597
2021-01-26,6.41,478.0,0.714,3.25,0.606,0.573,2307
2021-01-27,5.19,554.0,0.829,3.17,0.674,0.641,2378
2021-01-28,6.77,521.0,0.788,2.59,0.749,0.651,2212
2021-01-29,5.84,669.0,0.697,3.37,0.701,0.684,2439
2021-01-30,6.19,638.0,0.742,3.28,0.56,0.564,1567
2021-01-31,5.92,554.0,0.841,3.12,0.719,0.619,1797
2021-02-01,8.42,701.0,0.682,4.3,0.577,0.622,2131
2021-02-02,6.6,639.0,0.745,3.12,0.659,0.63,2183
2021-02-03,5.6,574.0,0.811,3.0,0.603,0.515,2681
2021-02-04,7.52,466.0,0.789,4.1,0.608,0.623,2408
2021-02-05,5.52,706.0,0.777,2.85,0.702,0.534,2443
2021-02-06,6.99,522.0,0.73,3.23,0.518,0.648,1846
2021-02-07,4.87,510.0,0.874,2.93,0.812,0.644,1547
2021-02-08,5.54,644.0,0.876,3.36,0.431,0.466,2749
2021-02-09,7.1,716.0,0.807,3.48,0.549,0.69,2873
2021-02-10,7.68,664.0,0.751,3.15,0.641,0.784,2781
2021-02-11,7.16,623.0,0.716,3.27,0.658,0.649,2844
2021-02-12,6.91,625.0,0.72,3.2,0.585,0.592,2563
2021-02-13,6.76,639.0,0.791,3.33,0.585,0.761,1994
2021-02-14,5.62,635.0,0.809,3.25,0.627,0.528,1687
2021-02-15,6.42,612.0,0.842,3.41,0.558,0.605,2583
2021-02-16,6.71,604.0,0.798,2.81,0.715,0.653,2187
2021-02-17,8.26,596.0,0.66,3.97,0.655,0.746,2890
2021-02-18,7.58,562.0,0.801,3.59,0.653,0.676,2518
2021-02-19,5.51,587.0,0.74,3.52,0.464,0.533,2877
2021-02-20,7.63,517.0,0.728,3.66,0.548,0.591,1681
2021-02-21,6.96,598.0,0.773,3.72,0.52,0.596,2090
2021-02-22,6.7,554.0,0.866,3.48,0.444,0.539,2928
2021-02-23,8.02,549.0,0.895,4.01,0.575,0.658,2628
2021-02-24,8.47,614.0,0.761,3.85,0.48,0.622,2997
2021-02-25,8.4,675.0,0.723,3.65,0.594,0.596,2596
2021-02-26,6.65,653.0,0.794,4.01,0.415,0.645,2893
2021-02-27,7.21,529.0,0.8,3.71,0.689,0.629,1529
2021-02-28,7.88,559.0,0.726,3.75,0.421,0.557,1796
2021-03-01,8.55,656.0,0.819,3.33,0.527,0.654,3072
2021-03-02,7.12,561.0,0.769,3.04,0.578,0.633,2652
2021-03-03,7.44,600.0,0.776,3.58,0.436,0.523,2892
2021-03-04,6.55,639.0,0.802,3.35,0.572,0.627,3153
2021-03-05,6.48,564.0,0.791,3.11,0.358,0.514,3207
2021-03-06,8.51,619.0,0.772,3.74,0.62,0.765,2426
2021-03-07,9.08,548.0,0.688,4.29,0.47,0.692,2445
2021-03-08,7.67,586.0,0.719,3.74,0.403,0.591,3105
2021-03-09,8.77,633.0,0.67,3.41,0.426,0.611,3351
2021-03-10,8.14,538.0,0.759,3.6,0.53,0.645,3396
2021-03-11,7.16,641.0,0.796,3.19,0.385,0.622,3306
2021-03-12,8.18,619.0,0.759,3.52,0.362,0.616,3116
2021-03-13,9.37,648.0,0.796,3.75,0.408,0.652,2309
2021-03-14,7.82,633.0,0.743,3.42,0.306,0.599,2387
2021-03-15,9.43,691.0,0.745,3.51,0.599,0.673,3245
2021-03-16,5.26,630.0,0.74,3.01,0.354,0.512,3748
2021-03-17,8.72,603.0,0.706,3.58,0.487,0.555,3329
2021-03-18,8.0,632.0,0.775,2.72,0.418,0.672,3328
2021-03-19,7.62,654.0,0.79,4.14,0.292,0.602,3725
2021-03-20,8.03,630.0,0.725,3.93,0.383,0.579,2578
2021-03-21,5.96,630.0,0.777,3.08,0.455,0.665,2304
2021-03-22,7.73,594.0,0.669,3.55,0.351,0.607,3872
2021-03-23,8.32,597.0,0.716,3.31,0.483,0.594,3309
2021-03-24,9.45,561.0,0.756,4.4,0.459,0.718,3519
2021-03-25,7.46,720.0,0.78,4.06,0.442,0.632,3760
2021-03-26,7.17,571.0,0.782,3.48,0.297,0.594,3783
2021-03-27,7.49,600.0,0.753,3.8,0.228,0.549,2651
2021-03-28,8.91,600.0,0.722,3.83,0.268,0.643,3044
2021-03-29,8.32,681.0,0.701,3.26,0.342,0.605,3752
2021-03-30,7.47,623.0,0.786,3.37,0.37,0.626,4476
2021-03-31,8.51,701.0,0.751,3.74,0.091,0.478,4271
2021-04-01,8.1,606.0,0.763,3.48,0.301,0.581,4087
2021-04-02,8.97,655.0,0.694,3.73,0.311,0.717,4085
2021-04-03,7.3,600.0,0.646,3.43,0.26,0.533,3365
2021-04-04,7.67,750.0,0.801,3.51,0.41,0.582,2683
2021-04-05,7.6,584.0,0.724,3.54,0.316,0.569,3957
2021-04-06,6.53,660.0,0.726,2.99,0.398,0.515,4090
2021-04-07,8.28,678.0,0.769,3.44,0.239,0.486,4342
2021-04-08,8.24,668.0,0.716,3.26,0.347,0.605,3891
2021-04-09,7.98,639.0,0.793,3.89,0.41,0.628,4272
2021-04-10,7.73,643.0,0.776,2.91,0.371,0.604,3325
2021-04-11,6.54,652.0,0.803,3.65,0.124,0.514,3249
2021-04-12,7.53,644.0,0.681,3.92,0.201,0.568,4388
2021-04-13,7.6,700.0,0.809,3.43,0.185,0.616,4415
2021-04-14,7.13,764.0,0.771,2.64,0.262,0.557,4742
2021-04-15,7.76,626.0,0.726,3.44,0.275,0.559,4351
2021-04-16,8.31,587.0,0.741,3.64,0.116,0.558,4978
2021-04-17,9.78,652.0,0.616,3.65,0.2,0.662,3444
2021-04-18,8.05,786.0,0.759,3.46,0.0,0.612,3400
2021-04-19,8.12,618.0,0.686,4.08,0.324,0.577,4569
